date,keyword,trend_score,snapshot_time,data_source,region
2026-01-30 09:00:00,gold price,63,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 10:00:00,gold price,62,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 11:00:00,gold price,55,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 12:00:00,gold price,54,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 13:00:00,gold price,52,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 14:00:00,gold price,51,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 15:00:00,gold price,54,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 16:00:00,gold price,52,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 17:00:00,gold price,56,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 18:00:00,gold price,60,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 19:00:00,gold price,49,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 20:00:00,gold price,41,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 21:00:00,gold price,41,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 22:00:00,gold price,41,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-30 23:00:00,gold price,39,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 00:00:00,gold price,43,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 01:00:00,gold price,53,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 02:00:00,gold price,71,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 03:00:00,gold price,92,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 04:00:00,gold price,98,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 05:00:00,gold price,100,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 06:00:00,gold price,92,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 07:00:00,gold price,83,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 08:00:00,gold price,73,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 09:00:00,gold price,64,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 10:00:00,gold price,59,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 11:00:00,gold price,54,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 12:00:00,gold price,53,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 13:00:00,gold price,51,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 14:00:00,gold price,49,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 15:00:00,gold price,49,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 16:00:00,gold price,44,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 17:00:00,gold price,41,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 18:00:00,gold price,34,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 19:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 20:00:00,gold price,24,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 21:00:00,gold price,21,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 22:00:00,gold price,21,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-01-31 23:00:00,gold price,22,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 00:00:00,gold price,26,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 01:00:00,gold price,33,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 02:00:00,gold price,46,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 03:00:00,gold price,64,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 04:00:00,gold price,91,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 05:00:00,gold price,86,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 06:00:00,gold price,82,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 07:00:00,gold price,82,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 08:00:00,gold price,69,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 09:00:00,gold price,61,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 10:00:00,gold price,53,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 11:00:00,gold price,47,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 12:00:00,gold price,45,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 13:00:00,gold price,42,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 14:00:00,gold price,40,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 15:00:00,gold price,43,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 16:00:00,gold price,37,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 17:00:00,gold price,32,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 18:00:00,gold price,25,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 19:00:00,gold price,20,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 20:00:00,gold price,18,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 21:00:00,gold price,17,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 22:00:00,gold price,19,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-01 23:00:00,gold price,24,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 00:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 01:00:00,gold price,38,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 02:00:00,gold price,52,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 03:00:00,gold price,69,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 04:00:00,gold price,99,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 05:00:00,gold price,96,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 06:00:00,gold price,92,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 07:00:00,gold price,82,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 08:00:00,gold price,72,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 09:00:00,gold price,63,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 10:00:00,gold price,60,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 11:00:00,gold price,51,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 12:00:00,gold price,53,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 13:00:00,gold price,50,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 14:00:00,gold price,54,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 15:00:00,gold price,51,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 16:00:00,gold price,48,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 17:00:00,gold price,40,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 18:00:00,gold price,34,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 19:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 20:00:00,gold price,24,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 21:00:00,gold price,24,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 22:00:00,gold price,24,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-02 23:00:00,gold price,25,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 00:00:00,gold price,29,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 01:00:00,gold price,37,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 02:00:00,gold price,46,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 03:00:00,gold price,61,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 04:00:00,gold price,80,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 05:00:00,gold price,75,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 06:00:00,gold price,67,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 07:00:00,gold price,58,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 08:00:00,gold price,52,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 09:00:00,gold price,43,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 10:00:00,gold price,41,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 11:00:00,gold price,37,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 12:00:00,gold price,34,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 13:00:00,gold price,35,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 14:00:00,gold price,36,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 15:00:00,gold price,35,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 16:00:00,gold price,33,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 17:00:00,gold price,30,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 18:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 19:00:00,gold price,21,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 20:00:00,gold price,18,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 21:00:00,gold price,18,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 22:00:00,gold price,18,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-03 23:00:00,gold price,19,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 00:00:00,gold price,20,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 01:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 02:00:00,gold price,34,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 03:00:00,gold price,42,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 04:00:00,gold price,53,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 05:00:00,gold price,53,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 06:00:00,gold price,45,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 07:00:00,gold price,41,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 08:00:00,gold price,38,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 09:00:00,gold price,34,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 10:00:00,gold price,31,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 11:00:00,gold price,30,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 12:00:00,gold price,29,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 13:00:00,gold price,26,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 14:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 15:00:00,gold price,28,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 16:00:00,gold price,28,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 17:00:00,gold price,25,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 18:00:00,gold price,21,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 19:00:00,gold price,17,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 20:00:00,gold price,16,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 21:00:00,gold price,15,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 22:00:00,gold price,16,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-04 23:00:00,gold price,16,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 00:00:00,gold price,17,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 01:00:00,gold price,20,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 02:00:00,gold price,28,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 03:00:00,gold price,38,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 04:00:00,gold price,47,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 05:00:00,gold price,49,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 06:00:00,gold price,42,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 07:00:00,gold price,39,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 08:00:00,gold price,33,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 09:00:00,gold price,30,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 10:00:00,gold price,28,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 11:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 12:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 13:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 14:00:00,gold price,26,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 15:00:00,gold price,30,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 16:00:00,gold price,27,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 17:00:00,gold price,24,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 18:00:00,gold price,21,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 19:00:00,gold price,18,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 20:00:00,gold price,18,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 21:00:00,gold price,18,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 22:00:00,gold price,19,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-05 23:00:00,gold price,19,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 00:00:00,gold price,24,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 01:00:00,gold price,24,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 02:00:00,gold price,31,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 03:00:00,gold price,36,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 04:00:00,gold price,48,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 05:00:00,gold price,42,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 06:00:00,gold price,39,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 07:00:00,gold price,33,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 08:00:00,gold price,32,2026-02-06 09:54:48.589803,Google Trends,Vietnam
2026-02-06 09:00:00,gold price,28,2026-02-06 09:54:48.589803,Google Trends,Vietnam
